config,seed,run,accuracy,balanced_accuracy,auc,precision,recall,f1,rmse,mae,r2
A,0,1,0.5769230769230769,0.5,0.46178451178451174,0.5769230769230769,1.0,0.7317073170731707,,,
A,1,2,0.5769230769230769,0.5,0.5456228956228957,0.5769230769230769,1.0,0.7317073170731707,,,
A,2,3,0.5769230769230769,0.5,0.4471380471380471,0.5769230769230769,1.0,0.7317073170731707,,,
A,3,4,0.5769230769230769,0.5,0.45454545454545453,0.5769230769230769,1.0,0.7317073170731707,,,
A,4,5,0.5769230769230769,0.5,0.5208754208754208,0.5769230769230769,1.0,0.7317073170731707,,,
A,5,6,0.5769230769230769,0.5,0.5208754208754209,0.5769230769230769,1.0,0.7317073170731707,,,
A,6,7,0.5769230769230769,0.5,0.46700336700336703,0.5769230769230769,1.0,0.7317073170731707,,,
A,7,8,0.5769230769230769,0.5,0.4984848484848484,0.5769230769230769,1.0,0.7317073170731707,,,
A,8,9,0.46153846153846156,0.5171717171717172,0.5868686868686869,0.6363636363636364,0.15555555555555556,0.25,,,
A,9,10,0.5769230769230769,0.5,0.5124579124579125,0.5769230769230769,1.0,0.7317073170731707,,,
B,0,1,0.5769230769230769,0.5,0.5383838383838384,0.5769230769230769,1.0,0.7317073170731707,,,
B,1,2,0.5641025641025641,0.4888888888888889,0.43872053872053873,0.5714285714285714,0.9777777777777777,0.7213114754098361,,,
B,2,3,0.5769230769230769,0.5,0.4883838383838383,0.5769230769230769,1.0,0.7317073170731707,,,
B,3,4,0.5769230769230769,0.5,0.5287878787878787,0.5769230769230769,1.0,0.7317073170731707,,,
B,4,5,0.5769230769230769,0.5,0.5060606060606061,0.5769230769230769,1.0,0.7317073170731707,,,
B,5,6,0.5769230769230769,0.5,0.5196969696969698,0.5769230769230769,1.0,0.7317073170731707,,,
B,6,7,0.5576923076923077,0.4914141414141414,0.4986531986531987,0.5724137931034483,0.9222222222222223,0.7063829787234043,,,
B,7,8,0.5769230769230769,0.5,0.46010101010101,0.5769230769230769,1.0,0.7317073170731707,,,
B,8,9,0.5769230769230769,0.5,0.4959595959595959,0.5769230769230769,1.0,0.7317073170731707,,,
B,9,10,0.5769230769230769,0.5,0.4478114478114478,0.5769230769230769,1.0,0.7317073170731707,,,
C,0,1,0.5769230769230769,0.5,0.4895622895622895,0.5769230769230769,1.0,0.7317073170731707,,,
C,1,2,0.5769230769230769,0.5,0.5116161616161616,0.5769230769230769,1.0,0.7317073170731707,,,
C,2,3,0.5769230769230769,0.5,0.4634680134680135,0.5769230769230769,1.0,0.7317073170731707,,,
C,3,4,0.5769230769230769,0.5,0.5486531986531986,0.5769230769230769,1.0,0.7317073170731707,,,
C,4,5,0.5769230769230769,0.5,0.5035353535353535,0.5769230769230769,1.0,0.7317073170731707,,,
C,5,6,0.5769230769230769,0.5,0.5397306397306398,0.5769230769230769,1.0,0.7317073170731707,,,
C,6,7,0.5833333333333334,0.5075757575757576,0.5035353535353535,0.5806451612903226,1.0,0.7346938775510204,,,
C,7,8,0.5833333333333334,0.5075757575757576,0.5144781144781145,0.5806451612903226,1.0,0.7346938775510204,,,
C,8,9,0.5769230769230769,0.5,0.4730639730639731,0.5769230769230769,1.0,0.7317073170731707,,,
C,9,10,0.5769230769230769,0.5,0.47373737373737373,0.5769230769230769,1.0,0.7317073170731707,,,
D,0,1,0.5769230769230769,0.5,0.5589225589225589,0.5769230769230769,1.0,0.7317073170731707,,,
D,1,2,0.5769230769230769,0.5,0.5457912457912457,0.5769230769230769,1.0,0.7317073170731707,,,
D,2,3,0.5769230769230769,0.5,0.475084175084175,0.5769230769230769,1.0,0.7317073170731707,,,
D,3,4,0.5769230769230769,0.5,0.493939393939394,0.5769230769230769,1.0,0.7317073170731707,,,
D,4,5,0.5769230769230769,0.5,0.4749158249158249,0.5769230769230769,1.0,0.7317073170731707,,,
D,5,6,0.5833333333333334,0.5075757575757576,0.5148148148148148,0.5806451612903226,1.0,0.7346938775510204,,,
D,6,7,0.5769230769230769,0.5,0.5087542087542087,0.5769230769230769,1.0,0.7317073170731707,,,
D,7,8,0.5769230769230769,0.5,0.4898989898989899,0.5769230769230769,1.0,0.7317073170731707,,,
D,8,9,0.5769230769230769,0.5,0.5186868686868686,0.5769230769230769,1.0,0.7317073170731707,,,
D,9,10,0.5769230769230769,0.5,0.5168350168350168,0.5769230769230769,1.0,0.7317073170731707,,,
E,0,1,0.5769230769230769,0.5,0.4111111111111111,0.5769230769230769,1.0,0.7317073170731707,,,
E,1,2,0.5769230769230769,0.5,0.5313131313131313,0.5769230769230769,1.0,0.7317073170731707,,,
E,2,3,0.5769230769230769,0.5,0.49343434343434345,0.5769230769230769,1.0,0.7317073170731707,,,
E,3,4,0.5769230769230769,0.5,0.4910774410774411,0.5769230769230769,1.0,0.7317073170731707,,,
E,4,5,0.5769230769230769,0.5,0.4875420875420876,0.5769230769230769,1.0,0.7317073170731707,,,
E,5,6,0.5576923076923077,0.48737373737373735,0.4681818181818182,0.5704697986577181,0.9444444444444444,0.7112970711297071,,,
E,6,7,0.5769230769230769,0.5,0.5191919191919192,0.5769230769230769,1.0,0.7317073170731707,,,
E,7,8,0.5769230769230769,0.5,0.5234006734006733,0.5769230769230769,1.0,0.7317073170731707,,,
E,8,9,0.5769230769230769,0.5,0.5471380471380471,0.5769230769230769,1.0,0.7317073170731707,,,
E,9,10,0.5769230769230769,0.5,0.548148148148148,0.5769230769230769,1.0,0.7317073170731707,,,
F,0,1,,,,,,,0.2517195548438879,0.24749380808610183,-5.237333685475886
F,1,2,,,,,,,0.265031259462023,0.25961815241055614,-5.9144759325759475
F,2,3,,,,,,,0.31893991370127966,0.3084834756759497,-9.013428780117954
F,3,4,,,,,,,0.1958832129491761,0.19122283504559442,-2.777108898602329
F,4,5,,,,,,,0.3016153479401478,0.29720643888681364,-7.955130991370334
F,5,6,,,,,,,0.24883273955487833,0.24420471298388946,-5.095089827891922
F,6,7,,,,,,,0.324085385156249,0.3203003326287636,-9.339129187431142
F,7,8,,,,,,,0.2897107180567309,0.2828643826337961,-7.262171273507779
F,8,9,,,,,,,0.17972966501893972,0.17345646291207045,-2.179835095202162
F,9,10,,,,,,,0.24446164766203493,0.23947235483389634,-4.882833239641916
G,0,1,0.5641025641025641,0.5414141414141413,0.5481481481481482,0.6078431372549019,0.6888888888888889,0.6458333333333334,0.2603477177148466,0.2547269807412074,-5.67225473059906
G,1,2,0.5384615384615384,0.5373737373737373,0.515993265993266,0.6125,0.5444444444444444,0.5764705882352941,0.21063066802497807,0.20506145556767783,-3.3672522655821044
G,2,3,0.48717948717948717,0.5191919191919192,0.560942760942761,0.6086956521739131,0.3111111111111111,0.4117647058823529,0.2812694239068194,0.27713642364893204,-6.787716187002193
G,3,4,0.46794871794871795,0.5207070707070707,0.5333333333333334,0.64,0.17777777777777778,0.2782608695652174,0.30506817191384566,0.2987192307527249,-8.161337184553982
G,4,5,0.5897435897435898,0.5676767676767677,0.5565656565656565,0.6274509803921569,0.7111111111111111,0.6666666666666666,0.23850734166172716,0.22939144151333052,-4.599749147667059
G,5,6,0.46794871794871795,0.5247474747474747,0.5929292929292929,0.6666666666666666,0.15555555555555556,0.25225225225225223,0.2866025172309157,0.28364362166478085,-7.085838623852812
G,6,7,0.47435897435897434,0.5282828282828282,0.5451178451178451,0.6666666666666666,0.17777777777777778,0.2807017543859649,0.22599511653423585,0.21921383646818307,-4.027628482286831
G,7,8,0.5064102564102564,0.556060606060606,0.6055555555555556,0.7241379310344828,0.23333333333333334,0.35294117647058826,0.29242512677024307,0.28647941389144993,-7.41771935212717
G,8,9,0.4807692307692308,0.4974747474747475,0.5345117845117845,0.5737704918032787,0.3888888888888889,0.46357615894039733,0.23621381044614131,0.23334487202839974,-4.4925704916456635
G,9,10,0.5064102564102564,0.547979797979798,0.5341750841750842,0.6756756756756757,0.2777777777777778,0.3937007874015748,0.25390897499189824,0.24607929434531775,-5.34630840242714
