config,seed,run,accuracy,balanced_accuracy,auc,precision,recall,f1,rmse,mae,r2
H,0,1,0.48717948717948717,0.5191919191919192,0.60993265993266,0.6086956521739131,0.3111111111111111,0.4117647058823529,0.1971447159349273,0.1902897296807705,-2.825915297381296
H,1,2,0.6089743589743589,0.5702020202020202,0.5968013468013469,0.6218487394957983,0.8222222222222222,0.7081339712918661,0.18668631552143028,0.1808892412063403,-2.43075762653412
H,2,3,0.532051282051282,0.545959595959596,0.6171717171717173,0.6307692307692307,0.45555555555555555,0.5290322580645161,0.24638684546184283,0.24000540184669006,-4.9758557139759
H,3,4,0.47435897435897434,0.49595959595959593,0.561952861952862,0.5714285714285714,0.35555555555555557,0.4383561643835616,0.255667238911045,0.24796282175259712,-5.43450630968181
H,4,5,0.5192307692307693,0.555050505050505,0.6121212121212122,0.6744186046511628,0.32222222222222224,0.43609022556390975,0.16309705494289184,0.15356174417031118,-1.6185285086747547
H,5,6,0.6025641025641025,0.601010101010101,0.6121212121212122,0.6707317073170732,0.6111111111111112,0.6395348837209303,0.17225618322346334,0.16687209140031767,-1.9208866830576938
H,6,7,0.4935897435897436,0.555050505050505,0.6023569023569023,0.8235294117647058,0.15555555555555556,0.2616822429906542,0.19280789307976834,0.18521600235731173,-2.659440466677676
H,7,8,0.5384615384615384,0.5717171717171717,0.6212121212121211,0.6956521739130435,0.35555555555555557,0.47058823529411764,0.16076730927153854,0.15382497776777315,-1.5442545202061488
H,8,9,0.6538461538461539,0.6272727272727273,0.6215488215488215,0.6666666666666666,0.8,0.7272727272727273,0.19245175470817785,0.18661657587075844,-2.6459341365612015
H,9,10,0.5576923076923077,0.5722222222222222,0.6520202020202019,0.6615384615384615,0.4777777777777778,0.5548387096774193,0.18265157876346655,0.1760497929958197,-2.2840663992037626
H,10,11,0.5192307692307693,0.551010101010101,0.5962962962962962,0.6595744680851063,0.34444444444444444,0.45255474452554745,0.21481474455536156,0.20840778488379258,-3.5424822947500116
H,11,12,0.5,0.5444444444444445,0.575925925925926,0.6764705882352942,0.25555555555555554,0.3709677419354839,0.18430392733891549,0.1797402871724887,-2.3437534537139237
H,12,13,0.6346153846153846,0.5883838383838383,0.6023569023569023,0.6299212598425197,0.8888888888888888,0.7373271889400922,0.19818187810793922,0.19344522937750205,-2.866276841081031
H,13,14,0.5448717948717948,0.5813131313131313,0.6154882154882155,0.7209302325581395,0.34444444444444444,0.46616541353383456,0.18642032058128793,0.17926089427410027,-2.420988147225516
H,14,15,0.6217948717948718,0.5954545454545455,0.5900673400673401,0.6448598130841121,0.7666666666666667,0.700507614213198,0.21895496556030536,0.21310001573501489,-3.7192682726115356
H,15,16,0.5,0.5404040404040404,0.568855218855219,0.6578947368421053,0.2777777777777778,0.390625,0.1314497953116737,0.1228955850387231,-0.7009239521887622
H,16,17,0.46794871794871795,0.5287878787878788,0.6318181818181818,0.7058823529411765,0.13333333333333333,0.22429906542056074,0.13124131634853953,0.12361446710733268,-0.695532910561093
H,17,18,0.5961538461538461,0.5772727272727273,0.6031986531986533,0.6363636363636364,0.7,0.6666666666666666,0.24114954449122264,0.23727727891542974,-4.724505280920919
H,18,19,0.6346153846153846,0.6126262626262626,0.5984848484848485,0.6601941747572816,0.7555555555555555,0.7046632124352331,0.1512150938102068,0.14459036137813178,-1.2508956142026681
H,19,20,0.6474358974358975,0.6277777777777778,0.6301346801346802,0.6732673267326733,0.7555555555555555,0.7120418848167539,0.16545727297205504,0.15986391481680748,-1.6948636272219555
H,20,21,0.5384615384615384,0.5858585858585859,0.6095959595959596,0.78125,0.2777777777777778,0.4098360655737705,0.24751890830722065,0.24194299754423973,-5.03089587439184
H,21,22,0.47435897435897434,0.5303030303030303,0.6031986531986532,0.6818181818181818,0.16666666666666666,0.26785714285714285,0.18753340430362178,0.18202107227765596,-2.4619623737156147
H,22,23,0.4935897435897436,0.5429292929292929,0.5856902356902357,0.6896551724137931,0.2222222222222222,0.33613445378151263,0.16229948575904932,0.15638104157570082,-1.5929811288043854
H,23,24,0.6282051282051282,0.6070707070707071,0.6227272727272727,0.6568627450980392,0.7444444444444445,0.6979166666666666,0.22364384202813242,0.2179809992129986,-3.923556857054572
H,24,25,0.46794871794871795,0.5328282828282829,0.6269360269360269,0.7692307692307693,0.1111111111111111,0.1941747572815534,0.20077267007068583,0.1953227325127675,-2.968023704531603
H,25,26,0.5705128205128205,0.5611111111111111,0.614983164983165,0.6292134831460674,0.6222222222222222,0.6256983240223464,0.12568428084880545,0.11931494451486148,-0.5549878411398572
H,26,27,0.6153846153846154,0.5575757575757576,0.6082491582491583,0.6086956521739131,0.9333333333333333,0.7368421052631579,0.17227754368601664,0.1674157174733969,-1.9216111314675768
H,27,28,0.6153846153846154,0.604040404040404,0.6208754208754209,0.6630434782608695,0.6777777777777778,0.6703296703296703,0.2595623635051637,0.25478364068728226,-5.6320609476320955
H,28,29,0.5961538461538461,0.5712121212121212,0.5826599326599327,0.6285714285714286,0.7333333333333333,0.676923076923077,0.21536040841714393,0.20886593025464278,-3.5655888700793863
H,29,30,0.48717948717948717,0.5393939393939394,0.6222222222222222,0.6923076923076923,0.2,0.3103448275862069,0.1647481840588309,0.15576935578615236,-1.67181473750885
