Date,Open,High,Low,Close,Volume,date,polarity_company,polarity_company_max,subjectivity,polarity_market,polarity_market_max
2020-01-01,12202.150390625,12222.2001953125,12165.2998046875,12182.5,304100,2020-01-01,0.0,0.0,0.5,0.1656807462032151,-0.9630345106124878
2020-01-02,12198.5498046875,12289.900390625,12195.25,12282.2001953125,407700,2020-01-02,0.0,0.0,0.5,0.20144527460095182,-0.956835687160492
2020-01-03,12261.099609375,12265.599609375,12191.349609375,12226.650390625,428800,2020-01-03,0.0,0.0,0.5,0.07948357480413772,-0.9623504877090454
2020-01-06,12170.599609375,12179.099609375,11974.2001953125,11993.0498046875,396500,2020-01-06,0.0,0.0,0.5,-0.02067351309276785,-0.9598830342292786
2020-01-07,12079.099609375,12152.150390625,12005.349609375,12052.9501953125,447800,2020-01-07,0.0,0.0,0.5,0.071455127661665,-0.964538037776947
2020-01-08,11939.099609375,12044.9501953125,11929.599609375,12025.349609375,446000,2020-01-08,0.0,0.0,0.5,-0.1104718070796558,-0.965459644794464
2020-01-09,12153.150390625,12224.0498046875,12132.5498046875,12215.900390625,477500,2020-01-09,0.0,0.0,0.5,0.11074518990691427,-0.9640993475914
2020-01-10,12271.0,12311.2001953125,12213.2001953125,12256.7998046875,660600,2020-01-10,0.0,0.0,0.5,0.10227101315502767,-0.9637539982795716
2020-01-13,12296.7001953125,12337.75,12285.7998046875,12329.5498046875,501000,2020-01-13,0.0,0.0,0.5,0.02675544379151755,-0.9617663621902466
2020-01-14,12333.099609375,12374.25,12308.7001953125,12362.2998046875,616300,2020-01-14,0.0,0.0,0.5,0.011439759839964172,-0.959818422794342
2020-01-15,12349.400390625,12355.150390625,12278.75,12343.2998046875,684400,2020-01-15,0.0,0.0,0.5,0.04482119217299032,-0.9617964029312134
2020-01-16,12347.099609375,12389.0498046875,12315.7998046875,12355.5,395700,2020-01-16,-0.8614118695259094,-0.8614118695259094,0.870352566242218,0.18775493701870893,-0.959143877029419
2020-01-17,12328.400390625,12385.4501953125,12321.400390625,12352.349609375,502100,2020-01-17,0.0,0.0,0.5,0.02597561048886437,-0.964337170124054
2020-01-20,12430.5,12430.5,12216.900390625,12224.5498046875,491600,2020-01-20,-0.8509735465049744,-0.8509735465049744,0.4235978126525879,0.017638588919353892,-0.9665590524673462
2020-01-21,12195.2998046875,12230.0498046875,12162.2998046875,12169.849609375,400,2020-01-21,0.0,0.0,0.5,-0.020196289283993817,-0.9667007327079772
2020-01-22,12218.349609375,12225.0498046875,12087.900390625,12106.900390625,500,2020-01-22,0.0,0.0,0.5,0.11077747741997564,-0.9633061289787292
2020-01-23,12123.75,12189.0,12094.099609375,12180.349609375,867700,2020-01-23,0.0,0.0,0.5,0.15469691450381354,-0.966096580028534
2020-01-24,12174.5498046875,12272.150390625,12149.650390625,12248.25,593200,2020-01-24,0.0,0.0,0.5,0.1010445764371354,-0.9664618372917176
2020-01-27,12197.099609375,12216.599609375,12107.0,12119.0,441200,2020-01-27,0.0,0.0,0.5,-0.02506178487854744,-0.9652249217033386
2020-01-28,12148.099609375,12163.5498046875,12024.5,12055.7998046875,478500,2020-01-28,0.0,0.0,0.5,0.04252899953039588,-0.9659177660942078
2020-01-29,12114.900390625,12169.599609375,12103.7998046875,12129.5,514400,2020-01-29,0.0,0.0,0.5,0.13456937099108474,-0.9676957726478576
2020-01-30,12147.75,12150.2998046875,12010.599609375,12035.7998046875,538100,2020-01-30,0.0,0.0,0.5,0.07820246204512543,-0.966849684715271
2020-01-31,12100.400390625,12103.5498046875,11945.849609375,11962.099609375,771300,2020-01-31,0.0,0.0,0.5,0.061345337395061234,-0.964024305343628
2020-02-03,11627.4501953125,11749.849609375,11614.5,11707.900390625,669800,2020-02-03,0.0,0.0,0.5,-0.033352028554791864,-0.9677393436431884
2020-02-04,11786.25,11986.150390625,11783.400390625,11979.650390625,560400,2020-02-04,-0.0108897387981414,-0.0108897387981414,0.8832608461380005,0.11897199482302223,-0.9552831053733826
2020-02-05,12005.849609375,12098.150390625,11953.349609375,12089.150390625,758000,2020-02-05,0.9296942949295044,0.9296942949295044,0.9490777850151062,0.11757907613060589,-0.9617842435836792
2020-02-06,12120.0,12160.599609375,12084.650390625,12137.9501953125,565100,2020-02-06,0.0,0.0,0.5,0.14769217717499214,-0.9662051796913148
2020-02-07,12151.150390625,12154.7001953125,12073.9501953125,12098.349609375,473500,2020-02-07,0.0,0.0,0.5,0.06297296512272807,-0.962122082710266
2020-02-10,12102.349609375,12103.5498046875,11990.75,12031.5,524700,2020-02-10,-0.9683669209480286,-0.9683669209480286,0.9769864678382874,-0.0794563675299287,-0.9668447375297546
2020-02-11,12108.400390625,12172.2998046875,12099.0,12107.900390625,480000,2020-02-11,0.01421713829040525,0.0166153088212013,0.6957079321146011,0.15319879523168006,-0.9668828845024108
2020-02-12,12151.0,12231.75,12144.2998046875,12201.2001953125,411700,2020-02-12,0.0,0.0,0.5,0.10981745967240648,-0.9669976830482484
2020-02-13,12219.5498046875,12225.650390625,12139.7998046875,12174.650390625,501200,2020-02-13,0.8996036648750305,0.8996036648750305,0.07584710419178,0.04838042938156632,-0.967754364013672
2020-02-14,12190.150390625,12246.7001953125,12091.2001953125,12113.4501953125,622800,2020-02-14,0.0,0.0,0.5,0.058675642971319074,-0.960040271282196
2020-02-17,12131.7998046875,12159.599609375,12037.0,12045.7998046875,0,2020-02-17,0.0,0.0,0.5,-0.01288713834864994,-0.9675220847129822
2020-02-18,12028.25,12030.75,11908.0498046875,11992.5,676900,2020-02-18,0.942403256893158,0.942403256893158,0.0485817678272724,0.00957917289545871,-0.9661576747894288
2020-02-19,12090.599609375,12134.7001953125,12042.099609375,12125.900390625,513600,2020-02-19,0.0,0.0,0.5,0.08179826454983816,-0.954351246356964
2020-02-20,12119.0,12152.0,12071.4501953125,12080.849609375,502600,2020-02-20,0.0,0.0,0.5,0.014873454408524053,-0.9631016254425048
2020-02-24,12012.5498046875,12012.5498046875,11813.400390625,11829.400390625,490800,2020-02-24,0.0,0.0,0.5,-0.0021259205404130293,-0.9633756279945374
2020-02-25,11877.5,11883.0498046875,11779.900390625,11797.900390625,461000,2020-02-25,0.0,0.0,0.5,-0.020659990426970705,-0.9631540775299072
2020-02-26,11738.5498046875,11783.25,11639.599609375,11678.5,567600,2020-02-26,0.0,0.0,0.5,-0.04162802093273758,-0.9666191935539246
2020-02-27,11661.25,11663.849609375,11536.7001953125,11633.2998046875,608600,2020-02-27,0.0,0.0,0.5,-0.0512795166228898,-0.9648448824882508
2020-02-28,11382.0,11384.7998046875,11175.0498046875,11201.75,809900,2020-02-28,0.0,0.0,0.5,-0.165052797208179,-0.9630820155143738
2020-03-02,11387.349609375,11433.0,11036.25,11132.75,680800,2020-03-02,0.0,0.0,0.5,-0.045890485186402395,-0.9574899673461914
2020-03-03,11217.5498046875,11342.25,11152.5498046875,11303.2998046875,696500,2020-03-03,0.0,0.0,0.5,0.005163880537123699,-0.9516136646270752
2020-03-04,11351.349609375,11356.599609375,11082.150390625,11251.0,797700,2020-03-04,0.0,0.0,0.5,-0.09492838883443791,-0.9623743295669556
2020-03-05,11306.0498046875,11389.5,11244.599609375,11269.0,1352500,2020-03-05,-0.4559190329164267,-0.9567990899086,0.5021598748862742,-0.04871266944284895,-0.9655708074569702
2020-03-06,10942.650390625,11035.099609375,10827.400390625,10989.4501953125,1811000,2020-03-06,0.0,0.0,0.5,-0.19546135245173266,-0.9613454937934875
2020-03-09,10742.0498046875,10751.5498046875,10294.4501953125,10451.4501953125,1565500,2020-03-09,0.0,0.0,0.5,-0.18470383092722634,-0.963212251663208
2020-03-11,10334.2998046875,10545.099609375,10334.0,10458.400390625,1218500,2020-03-11,0.8657532334327698,0.8657532334327698,0.4748899340629577,-0.012716437013642416,-0.962895929813385
2020-03-12,10039.9501953125,10040.75,9508.0,9590.150390625,1343500,2020-03-12,0.0,0.0,0.5,-0.21304124855961878,-0.9610331654548644
2020-03-13,9107.599609375,10159.400390625,8555.150390625,9955.2001953125,1388000,2020-03-13,0.0,0.0,0.5,-0.06649840927936815,-0.9658977389335632
2020-03-16,9587.7998046875,9602.2001953125,9165.099609375,9197.400390625,897700,2020-03-16,-0.2633475661277771,-0.2633475661277771,0.9601714611053468,-0.17923748387127286,-0.9651086926460266
2020-03-17,9285.400390625,9403.7998046875,8915.599609375,8967.0498046875,935600,2020-03-17,0.0,0.0,0.5,-0.19729677159842607,-0.9654603600502014
2020-03-18,9088.4501953125,9127.5498046875,8407.0498046875,8468.7998046875,1516600,2020-03-18,0.0,0.0,0.5,-0.17359187566405218,-0.9671112895011902
2020-03-19,8063.2998046875,8575.4501953125,7832.5498046875,8263.4501953125,925700,2020-03-19,0.0,0.0,0.5,-0.20092469672786026,-0.9678221940994264
2020-03-20,8284.4501953125,8883.0,8178.2001953125,8745.4501953125,1071500,2020-03-20,0.0,0.0,0.5,-0.14046086885911577,-0.9622752666473388
2020-03-23,7945.7001953125,8159.25,7583.60009765625,7610.25,653500,2020-03-23,0.0,0.0,0.5,-0.2503935429437535,-0.962459683418274
2020-03-24,7848.2998046875,8036.9501953125,7511.10009765625,7801.0498046875,738400,2020-03-24,0.0,0.0,0.5,-0.058002912512450835,-0.9639664888381958
2020-03-25,7735.14990234375,8376.75,7714.75,8317.849609375,736900,2020-03-25,0.0,0.0,0.5,-0.06650501070544125,-0.9641754627227784
2020-03-26,8451.0,8749.0498046875,8304.900390625,8641.4501953125,865600,2020-03-26,0.0,0.0,0.5,-0.037749219317357634,-0.9628735780715942
2020-03-27,8949.099609375,9038.900390625,8522.900390625,8660.25,801500,2020-03-27,-0.9307566285133362,-0.9307566285133362,0.996216595172882,0.01319386982233137,-0.9670066237449646
2020-03-30,8385.9501953125,8576.0,8244.0,8281.099609375,593300,2020-03-30,0.0,0.0,0.5,-0.181852967551585,-0.9639824032783508
2020-03-31,8529.349609375,8678.2998046875,8358.0,8597.75,712700,2020-03-31,0.579375684261322,0.579375684261322,0.9540427923202516,-0.10854058890421502,-0.9612072110176086
2020-04-01,8584.099609375,8588.099609375,8198.349609375,8253.7998046875,506300,2020-04-01,0.1661654859781265,0.2205891907215118,0.9702207148075104,-0.19058616139480603,-0.9672411680221558
2020-04-03,8356.5498046875,8356.5498046875,8055.7998046875,8083.7998046875,697000,2020-04-03,-0.5186925530433655,-0.5186925530433655,0.9767077565193176,-0.2178115950046498,-0.9665234684944152
2020-04-07,8446.2998046875,8819.400390625,8360.9501953125,8792.2001953125,814200,2020-04-07,-0.9610879421234132,-0.9610879421234132,0.9404345154762268,-0.0173457632190548,-0.9650622606277466
2020-04-08,8688.900390625,9131.7001953125,8653.900390625,8748.75,896500,2020-04-08,0.0,0.0,0.5,-0.052588071858326174,-0.9651864767074584
2020-04-09,8973.0498046875,9128.349609375,8904.5498046875,9111.900390625,742100,2020-04-09,0.0,0.0,0.5,-0.05429028664062273,-0.9676806926727296
2020-04-13,9103.9501953125,9112.0498046875,8912.400390625,8993.849609375,644000,2020-04-13,-0.9219766855239868,-0.9219766855239868,0.7099516987800598,-0.11108324111306242,-0.9655225872993468
2020-04-15,9196.400390625,9261.2001953125,8874.099609375,8925.2998046875,879100,2020-04-15,0.0,0.0,0.5,-0.03615742334117901,-0.9651036858558656
2020-04-16,8851.25,9053.75,8821.900390625,8992.7998046875,719400,2020-04-16,-0.9084367752075196,-0.9084367752075196,0.9332191348075868,-0.09038660951861831,-0.9659450650215148
2020-04-17,9323.4501953125,9324.0,9091.349609375,9266.75,684200,2020-04-17,0.0,0.0,0.5,0.047218548578892634,-0.965201199054718
2020-04-20,9390.2001953125,9390.849609375,9230.7998046875,9261.849609375,726400,2020-04-20,0.0,0.0,0.5,-0.04407936824049722,-0.9679319262504578
2020-04-21,9016.9501953125,9044.400390625,8909.400390625,8981.4501953125,655100,2020-04-21,0.0,0.0,0.5,-0.20108142171085366,-0.9671106338500975
2020-04-22,9026.75,9209.75,8946.25,9187.2998046875,734400,2020-04-22,0.0,0.0,0.5,-0.06987723101758296,-0.9614653587341307
2020-04-23,9232.349609375,9343.599609375,9170.150390625,9313.900390625,666700,2020-04-23,0.0319985933601856,0.0319985933601856,0.9960507750511168,-0.004650882269359304,-0.9667105674743652
2020-04-24,9163.900390625,9296.900390625,9141.2998046875,9154.400390625,659400,2020-04-24,0.0,0.0,0.5,-0.09938174294105157,-0.9644068479537964
2020-04-27,9259.7001953125,9377.099609375,9250.349609375,9282.2998046875,512800,2020-04-27,0.0,0.0,0.5,-0.016265716869384057,-0.9643286466598512
2020-04-28,9389.7998046875,9404.400390625,9260.0,9380.900390625,614500,2020-04-28,0.0,0.0,0.5,0.0061291639826127385,-0.9659733772277832
2020-04-29,9408.599609375,9599.849609375,9392.349609375,9553.349609375,653000,2020-04-29,0.0,0.0,0.5,-0.00613763075715035,-0.9663880467414856
2020-04-30,9753.5,9889.0498046875,9731.5,9859.900390625,931200,2020-04-30,0.0,0.0,0.5,0.03689493768669049,-0.9674708247184752
2020-05-04,9533.5,9533.5,9266.9501953125,9293.5,687500,2020-05-04,0.0,0.0,0.5,-0.10206952804167357,-0.9679216146469116
2020-05-05,9429.400390625,9450.900390625,9190.75,9205.599609375,725200,2020-05-05,-0.9657201170921326,-0.9657201170921326,0.7224625945091248,-0.07674967962236186,-0.9666011333465576
2020-05-06,9226.7998046875,9346.900390625,9116.5,9270.900390625,722200,2020-05-06,-0.17213311791419983,-0.96551913022995,0.8665579855442047,-0.08549490115854522,-0.962468445301056
2020-05-07,9234.0498046875,9277.849609375,9175.900390625,9199.0498046875,708700,2020-05-07,-0.9680020809173584,-0.9680020809173584,0.8133319616317749,-0.0724778466156862,-0.9641032218933104
2020-05-08,9376.9501953125,9382.650390625,9238.2001953125,9251.5,609100,2020-05-08,-0.085805207490921,-0.085805207490921,0.8517604470252991,-0.016195407758156467,-0.9631291031837464
2020-05-11,9348.150390625,9439.900390625,9219.9501953125,9239.2001953125,704600,2020-05-11,0.9328299164772034,0.9328299164772034,0.2178634405136108,-0.16993341614749838,-0.9614325165748596
2020-05-12,9168.849609375,9240.849609375,9043.9501953125,9196.5498046875,805500,2020-05-12,0.0,0.0,0.5,-0.02716210764526522,-0.9658475518226624
2020-05-13,9584.2001953125,9584.5,9351.099609375,9383.5498046875,846400,2020-05-13,0.0,0.0,0.5,0.02333912949264048,-0.967762053012848
2020-05-14,9213.9501953125,9281.099609375,9119.75,9142.75,602600,2020-05-14,0.0,0.0,0.5,-0.026148581537141655,-0.964072048664093
2020-05-15,9182.400390625,9182.400390625,9050.0,9136.849609375,575900,2020-05-15,0.0,0.0,0.5,-0.018357097306967395,-0.9657819867134094
2020-05-18,9158.2998046875,9158.2998046875,8806.75,8823.25,773000,2020-05-18,0.0,0.0,0.5,-0.004020911227497802,-0.9651370048522948
2020-05-19,8961.7001953125,9030.349609375,8855.2998046875,8879.099609375,762200,2020-05-19,0.0,0.0,0.5,-0.044217077781158604,-0.9663004875183104
2020-05-20,8889.150390625,9093.7998046875,8875.349609375,9066.5498046875,622300,2020-05-20,0.0,0.0,0.5,0.013791714347281497,-0.9602296352386476
2020-05-21,9079.4501953125,9178.5498046875,9056.099609375,9106.25,631500,2020-05-21,0.30128155152002967,-0.9696021676063538,0.6209462285041809,0.04025889389730732,-0.9646377563476562
